Country or region,Year,Score
Finland,2018,7.632
Norway,2018,7.594
Denmark,2018,7.555
Iceland,2018,7.495
Switzerland,2018,7.487
Netherlands,2018,7.441
Canada,2018,7.328
New Zealand,2018,7.324
Sweden,2018,7.314
Australia,2018,7.272
